"Ano do Óbito","Masc","Fem","Ign","Total"
"2000",142505,96451,3,238959
"2001",140643,95321,23,235987
"2002",140418,97308,15,237741
"2003",141275,98943,35,240253
"2004",141796,102150,38,243984
"2005",136421,100003,32,236456
"2006",139146,104724,85,243955
"2007",138590,106003,60,244653
"2008",141078,108114,55,249247
"2009",144331,112215,81,256627
"2010",148212,116678,61,264951
"2011",150191,120111,65,270367
"2012",150315,120053,64,270432
"2013",153612,123306,62,276980
"2014",154639,126910,75,281624
"2015",156973,130606,66,287645
"2016",161454,134837,68,296359

 
